positions,overall_rating,value_euro,short_passing,positioning,composure,velocidade,finalizacao,drible,fisico
"CF,RW,ST",94,110500000.0,92,94,96,88.5,84.16666666666667,95.2,69.0
"LW,ST",88,62000000.0,85,83,83,90.0,71.16666666666667,90.6,59.5
"RW,ST,RM",88,81000000.0,82,88,86,96.0,78.33333333333333,88.6,77.0
ST,89,64500000.0,81,92,90,84.0,84.83333333333333,89.0,74.5
ST,89,60000000.0,78,93,82,75.5,86.5,77.8,85.0
"CF,ST",89,78000000.0,84,91,89,86.5,84.5,87.8,74.0
"RW,ST",89,78500000.0,83,92,91,92.5,77.16666666666667,89.6,77.0
"CAM,RW",89,89000000.0,87,84,84,85.0,82.66666666666667,89.2,72.5
ST,87,48500000.0,74,92,86,71.0,82.33333333333333,79.4,77.5
"CF,ST",87,45000000.0,82,87,81,89.0,71.83333333333333,90.8,58.5
ST,87,52000000.0,74,91,81,81.5,83.66666666666667,78.6,78.0
"CAM,CM,LW",87,62500000.0,86,78,86,72.0,71.5,88.6,64.5
ST,87,64500000.0,73,92,85,77.5,83.83333333333333,79.6,72.5
"CAM,RW",84,38000000.0,86,76,83,75.0,71.0,82.8,72.5
"LW,ST,LM",84,42500000.0,78,83,82,88.5,78.66666666666667,84.6,75.5
ST,84,40000000.0,77,85,74,93.0,78.16666666666667,82.0,73.5
"LW,RW",84,41500000.0,83,82,83,83.5,75.33333333333333,81.4,68.5
"RW,LW",84,46000000.0,79,79,82,93.5,71.83333333333333,86.2,64.0
ST,85,14000000.0,79,85,90,58.5,86.0,71.8,73.5
"RM,RW",83,26000000.0,82,83,82,89.5,71.66666666666667,85.0,71.0
"LM,RM,CAM,LW",83,34000000.0,79,80,74,91.0,74.0,85.0,68.0
"RW,RM",83,27000000.0,83,82,75,84.0,66.33333333333333,83.8,73.5
"LM,ST,RM",83,28000000.0,78,79,78,90.5,75.66666666666667,82.8,72.0
"LM,RM,LW,RW",83,34500000.0,77,79,75,94.0,71.16666666666667,85.0,69.5
"RM,LM,ST",82,28000000.0,80,77,79,85.5,69.83333333333333,83.8,62.0
"RW,LW",82,29500000.0,74,78,77,93.5,71.0,82.8,69.5
RW,82,31500000.0,80,78,78,84.5,73.5,85.0,69.0
"LM,ST,RM,LW",82,29000000.0,77,77,80,89.5,72.16666666666667,82.0,68.5
"CF,ST,CAM",82,21500000.0,84,85,86,68.0,79.5,80.4,71.5
