League,player,Shots,OnTarget,value,nationality,position,squad,goals,goals_per_shot,passes_completed,assisted_shots,passes_blocked,touches,height,assists,games_starts,minutes
MLS,Robert Beric,62,28,2400000,si SVN,"FW,MF",Saint-Ă‰tienne,1,0.14,46,3,5,115,188,0,4,413
La Liga,Karim Benzema,27,12,32000000,fr FRA,FW,Real Madrid,21,0.14,1119,61,36,1688,184,8,36,3141
La Liga,Carlos Soler,8,5,40000000,es ESP,MF,Valencia,2,0.11,582,12,26,932,180,0,24,2066
La Liga,Cristian Tello,22,8,4000000,es ESP,"MF,FW",Betis,2,0.11,285,7,16,453,178,0,5,787
La Liga,Mikel Oyarzabal,31,16,48000000,es ESP,"FW,MF",Real Sociedad,10,0.11,828,53,88,1571,181,11,36,3051
La Liga,Esteban Burgos,5,4,72500,ar ARG,DF,Eibar,1,0.5,244,1,3,515,191,0,11,1119
La Liga,Lucas Perez,13,6,12000000,es ESP,FW,AlavĂ©s,11,0.14,448,60,28,938,180,5,29,2496
La Liga,Lionel Messi,39,19,112000000,ar ARG,"FW,MF",Barcelona,25,0.13,1700,86,62,2614,170,21,32,2880
La Liga,Federico Valverde,9,5,54000000,uy URU,MF,Real Madrid,2,0.09,985,19,18,1316,182,5,21,1907
La Liga,Antoine Griezmann,18,8,96000000,fr FRA,FW,Barcelona,9,0.16,935,33,49,1408,176,4,31,2549
La Liga,Iago Aspas,21,12,16000000,es ESP,FW,Celta Vigo,14,0.12,998,54,63,1676,176,3,37,3262
La Liga,Ansu Fati,14,7,80000000,es ESP,"FW,DF",Barcelona,7,0.21,446,17,13,724,178,1,11,1027
La Liga,Gerard Moreno,29,11,16000000,es ESP,"FW,MF",Villarreal,18,0.2,743,50,48,1447,180,5,33,2744
Serie A,Roberto Soriano,18,7,6000000,it ITA,MF,Bologna,5,0.14,1031,54,34,1484,182,5,29,2469
Serie A,Francesco Caputo,18,9,5000000,it ITA,FW,Sassuolo,21,0.26,635,49,21,1087,181,7,33,2931
Serie A,Andrea Belotti,24,11,32000000,it ITA,FW,Torino,16,0.09,502,37,66,1234,181,3,34,3008
Serie A,Gaetano Castrovilli,11,7,20000000,it ITA,MF,Fiorentina,3,0.06,922,35,41,1609,187,2,31,2673
Serie A,Giovanni Simeone,15,5,13000000,ar ARG,FW,Cagliari,12,0.14,350,17,30,910,181,3,34,2924
Serie A,Domenico Berardi,21,11,19000000,it ITA,FW,Sassuolo,14,0.1,879,53,49,1612,183,10,29,2493
Serie A,Henrikh Mkhitaryan,30,14,20000000,am ARM,FW,Arsenal,0,0.0,58,2,5,98,177,0,1,112
Serie A,Henrikh Mkhitaryan,30,14,20000000,am ARM,"MF,FW",Roma,9,0.21,582,26,27,915,177,5,16,1530
Serie A,Jordan Veretout,18,7,20000000,fr FRA,MF,Roma,6,0.04,1446,40,21,1870,177,0,30,2629
Serie A,Luis Muriel,20,7,15000000,co COL,FW,Atalanta,18,0.17,377,35,30,798,179,1,10,1260
